,day,time,open,high,low,close
234,20210401,10:03:00,959.19,959.27,959.08,959.14
235,20210401,10:00:00,959.28,959.4,959.0500000000001,959.26
236,20210401,09:57:00,959.04,959.28,959.02,959.25
237,20210401,09:54:00,958.79,959.0600000000001,958.79,959.0600000000001
238,20210401,09:51:00,958.52,958.75,958.36,958.72
239,20210401,09:48:00,958.49,958.54,958.22,958.52
240,20210401,09:45:00,958.22,958.52,958.22,958.46
241,20210401,09:42:00,957.14,958.16,957.14,958.16
242,20210401,09:39:00,957.11,957.19,957.03,957.19
243,20210401,09:36:00,956.8000000000001,957.14,956.8000000000001,957.14
244,20210401,09:33:00,956.33,956.71,956.33,956.71
245,20210401,09:30:00,955.29,956.4300000000001,955.29,956.25
246,20210401,09:27:00,955.32,955.32,954.9300000000001,955.15
247,20210401,09:24:00,954.96,955.45,954.96,955.41
248,20210401,09:21:00,955.28,955.34,954.99,955.02
249,20210401,09:18:00,956.46,956.46,955.34,955.34
250,20210401,09:15:00,956.54,956.62,956.4300000000001,956.5600000000001
251,20210401,09:12:00,956.66,956.71,956.4,956.57
252,20210401,09:09:00,957.86,957.96,956.9,956.9
253,20210401,09:06:00,958.75,958.97,957.9,957.94
254,20210401,09:03:00,959.79,959.79,958.28,958.87
255,20210401,09:00:00,956.87,961.07,956.87,960.0500000000001
256,20210331,15:30:00,956.48,956.57,956.1700000000001,956.1700000000001
257,20210331,15:18:00,956.0500000000001,956.48,955.9300000000001,956.48
258,20210331,15:15:00,955.74,956.11,955.74,956.11
259,20210331,15:12:00,955.69,955.76,955.57,955.75
260,20210331,15:09:00,955.5500000000001,955.7,955.4200000000001,955.7
261,20210331,15:06:00,955.58,955.63,955.29,955.5
262,20210331,15:03:00,955.97,955.97,955.5600000000001,955.59
263,20210331,15:00:00,956.1700000000001,956.2,955.97,956.0
264,20210331,14:57:00,956.22,956.32,956.13,956.25
265,20210331,14:54:00,956.5,956.5,956.21,956.28
266,20210331,14:51:00,956.88,956.9300000000001,956.59,956.59
267,20210331,14:48:00,956.99,957.0,956.79,956.9
268,20210331,14:45:00,957.15,957.19,956.97,956.97
269,20210331,14:42:00,957.19,957.19,957.03,957.16
270,20210331,14:39:00,957.11,957.25,957.0,957.1700000000001
271,20210331,14:36:00,957.09,957.21,957.0500000000001,957.15
272,20210331,14:33:00,956.86,957.11,956.83,957.11
273,20210331,14:30:00,956.6700000000001,956.91,956.5500000000001,956.91
274,20210331,14:27:00,956.48,956.6800000000001,956.48,956.6800000000001
275,20210331,14:24:00,956.1800000000001,956.51,956.1800000000001,956.46
276,20210331,14:21:00,956.0500000000001,956.24,955.98,956.1700000000001
277,20210331,14:18:00,955.74,956.08,955.72,956.08
278,20210331,14:15:00,955.86,955.86,955.6700000000001,955.76
279,20210331,14:12:00,955.73,955.88,955.61,955.82
280,20210331,14:09:00,955.63,955.76,955.58,955.76
281,20210331,14:06:00,955.85,955.87,955.65,955.69
282,20210331,14:03:00,955.94,955.97,955.74,955.82
283,20210331,14:00:00,956.37,956.4200000000001,955.73,955.85
284,20210331,13:57:00,956.37,956.4200000000001,956.28,956.3100000000001
