,day,time,open,high,low,close,amount,5,20,60,120
159,20210401,13:48:00,964.0500000000001,964.0500000000001,963.47,963.49,11730,12844.0,10829.1,10144.25,15790.775
160,20210401,13:45:00,964.21,964.38,964.07,964.12,13978,12927.6,10644.75,10113.266666666666,15770.741666666667
161,20210401,13:42:00,964.1800000000001,964.37,964.1800000000001,964.28,10861,12518.4,10373.4,10064.5,15719.591666666667
162,20210401,13:39:00,964.39,964.39,964.1800000000001,964.21,12067,12338.0,10291.2,10069.5,15711.058333333332
163,20210401,13:36:00,964.52,964.57,964.36,964.4,15584,11876.4,10161.35,10068.8,15686.458333333334
164,20210401,13:33:00,964.45,964.5500000000001,964.37,964.52,12148,10864.8,9802.55,10002.383333333333,15638.258333333333
165,20210401,13:30:00,964.0500000000001,964.47,964.0500000000001,964.44,11932,10448.0,9666.45,9966.216666666667,15622.95
166,20210401,13:27:00,964.11,964.1800000000001,964.02,964.0600000000001,9959,9890.6,9562.5,9946.166666666666,15618.608333333334
167,20210401,13:24:00,964.19,964.19,964.09,964.19,9759,10039.8,9575.85,10012.316666666668,15641.891666666666
168,20210401,13:21:00,964.0,964.23,964.0,964.1800000000001,10526,10253.8,9551.2,10100.916666666666,15658.241666666667
169,20210401,13:18:00,963.75,964.01,963.6800000000001,963.98,10064,9922.8,9553.85,10177.916666666666,15654.516666666666
170,20210401,13:15:00,963.23,963.78,963.22,963.76,9145,9482.8,9501.45,10242.916666666666,15675.666666666666
171,20210401,13:12:00,963.35,963.47,963.1800000000001,963.23,10705,9693.0,9469.1,10390.483333333334,15691.666666666666
172,20210401,13:09:00,963.82,963.9200000000001,963.35,963.35,10829,9561.6,9404.2,10443.766666666666,15680.383333333333
173,20210401,13:06:00,963.9300000000001,964.0600000000001,963.76,963.8000000000001,8871,9523.2,9256.45,10562.1,15684.541666666666
174,20210401,13:03:00,964.08,964.2,963.84,963.9200000000001,7864,9684.8,9248.9,10746.283333333333,15676.65
175,20210401,13:00:00,964.23,964.38,964.04,964.07,10196,9720.6,9252.9,10983.25,15679.741666666667
176,20210401,12:57:00,963.69,964.1800000000001,963.69,964.1800000000001,10048,9391.6,9175.55,11252.116666666667,15659.866666666667
177,20210401,12:54:00,963.61,963.6700000000001,963.48,963.6700000000001,10637,9225.4,9179.8,11432.883333333333,15653.491666666667
178,20210401,12:51:00,963.52,963.64,963.44,963.58,9679,8992.0,9186.75,11651.516666666666,15631.85
179,20210401,12:48:00,963.1700000000001,963.44,963.0600000000001,963.44,8043,8737.8,9190.95,11906.266666666666,15617.133333333333
180,20210401,12:45:00,963.13,963.24,963.13,963.24,8551,9014.4,9212.75,12228.65,15618.175
181,20210401,12:42:00,963.1800000000001,963.27,963.09,963.1,9217,9274.8,9384.8,12410.683333333332,15635.266666666666
182,20210401,12:39:00,963.08,963.47,963.08,963.2,9470,9476.6,9464.75,12643.6,15632.925
183,20210401,12:36:00,963.34,963.34,963.11,963.12,8408,9435.8,9530.05,12911.016666666666,15624.733333333334
184,20210401,12:33:00,963.23,963.36,963.21,963.34,9426,9870.0,9679.2,13211.05,15627.758333333333
185,20210401,12:30:00,962.5600000000001,963.25,962.4200000000001,963.25,9853,9788.0,9767.8,13469.916666666666,15622.475
186,20210401,12:27:00,962.51,962.74,962.47,962.59,10226,9517.0,9830.0,13783.783333333333,15613.591666666667
187,20210401,12:24:00,962.3100000000001,962.65,962.27,962.44,9266,9353.2,9771.0,14151.066666666668,15596.191666666668
188,20210401,12:21:00,962.24,962.4,962.24,962.28,10579,9074.8,9741.9,14490.916666666666,15576.1
189,20210401,12:18:00,961.35,962.27,961.33,962.27,9016,8703.0,9649.25,14952.833333333334,15548.216666666667
190,20210401,12:15:00,961.29,961.39,961.23,961.39,8498,8488.6,9732.3,15491.15,15560.458333333334
191,20210401,12:12:00,962.04,962.08,961.28,961.28,9407,8518.8,10006.8,15944.65,15589.091666666667
