,day,open,high,low,close
237,20200416,"1,839.51","1,862.23","1,828.13","1,857.07"
238,20200414,"1,846.41","1,864.46","1,837.17","1,857.08"
239,20200413,"1,853.30","1,853.30","1,825.76","1,825.76"
240,20200410,"1,835.76","1,861.10","1,824.43","1,860.70"
241,20200409,"1,838.09","1,839.33","1,818.30","1,836.21"
242,20200408,"1,815.75","1,842.16","1,801.80","1,807.14"
243,20200407,"1,826.72","1,838.97","1,791.92","1,823.60"
244,20200406,"1,745.25","1,794.19","1,742.67","1,791.88"
245,20200403,"1,731.17","1,743.91","1,706.68","1,725.44"
246,20200402,"1,693.53","1,726.76","1,664.13","1,724.86"
247,20200401,"1,737.28","1,762.44","1,685.37","1,685.46"
248,20200331,"1,739.29","1,757.81","1,722.62","1,754.64"
249,20200330,"1,670.34","1,729.63","1,659.95","1,717.12"
250,20200327,"1,756.07","1,759.05","1,668.21","1,717.73"
251,20200326,"1,699.11","1,735.75","1,679.23","1,686.24"
252,20200325,"1,668.19","1,707.64","1,645.28","1,704.76"
253,20200324,"1,523.69","1,609.97","1,508.68","1,609.97"
254,20200323,"1,474.45","1,516.75","1,458.41","1,482.46"
255,20200320,"1,498.49","1,566.82","1,466.48","1,566.15"
256,20200319,"1,626.09","1,626.09","1,439.43","1,457.64"
257,20200318,"1,686.12","1,693.95","1,591.12","1,591.20"
258,20200317,"1,640.84","1,722.97","1,637.88","1,672.44"
259,20200316,"1,805.43","1,805.43","1,714.38","1,714.86"
260,20200313,"1,722.68","1,809.31","1,680.60","1,771.44"
261,20200312,"1,887.97","1,897.23","1,808.56","1,834.33"
262,20200311,"1,965.67","1,967.70","1,898.27","1,908.27"
263,20200310,"1,942.85","1,968.17","1,934.72","1,962.93"
264,20200309,"1,981.02","1,989.50","1,946.90","1,954.77"
265,20200306,"2,053.09","2,062.57","2,032.13","2,040.22"
266,20200305,"2,078.11","2,089.08","2,059.99","2,085.26"
267,20200304,"2,005.81","2,063.59","2,005.81","2,059.33"
268,20200303,"2,051.85","2,051.85","2,009.39","2,014.15"
269,20200302,"1,997.03","2,017.07","1,969.34","2,002.51"
270,20200228,"2,020.17","2,031.01","1,980.82","1,987.01"
271,20200227,"2,073.87","2,085.40","2,049.15","2,054.89"
272,20200226,"2,064.07","2,089.64","2,059.13","2,076.77"
273,20200225,"2,075.55","2,105.49","2,071.50","2,103.61"
274,20200224,"2,114.04","2,120.06","2,079.03","2,079.04"
275,20200221,"2,165.65","2,184.43","2,160.28","2,162.84"
276,20200220,"2,223.55","2,228.18","2,186.72","2,195.50"
277,20200219,"2,222.51","2,226.00","2,191.20","2,210.34"
278,20200218,"2,225.98","2,232.93","2,205.21","2,208.88"
279,20200217,"2,243.07","2,250.05","2,230.26","2,242.17"
280,20200214,"2,232.71","2,251.50","2,221.90","2,243.59"
281,20200213,"2,245.72","2,255.49","2,230.30","2,232.96"
282,20200212,"2,225.95","2,242.24","2,214.77","2,238.38"
283,20200211,"2,213.50","2,233.32","2,211.25","2,223.12"
284,20200210,"2,185.63","2,203.39","2,180.51","2,201.07"
285,20200207,"2,221.49","2,223.92","2,198.14","2,211.95"
286,20200206,"2,184.77","2,229.99","2,182.25","2,227.94"
287,20200205,"2,177.26","2,181.52","2,154.88","2,165.63"
288,20200204,"2,121.22","2,162.32","2,120.53","2,157.90"
289,20200203,"2,086.61","2,126.73","2,082.74","2,118.88"
290,20200131,"2,160.60","2,167.23","2,119.01","2,119.01"
291,20200130,"2,181.54","2,187.45","2,139.72","2,148.00"
292,20200129,"2,188.18","2,195.45","2,172.33","2,185.28"
293,20200128,"2,192.22","2,199.93","2,166.23","2,176.72"
294,20200123,"2,254.54","2,260.63","2,241.94","2,246.13"
295,20200122,"2,238.53","2,269.27","2,235.13","2,267.25"
296,20200121,"2,259.81","2,266.31","2,238.25","2,239.69"
297,20200120,"2,261.40","2,277.23","2,258.09","2,262.64"
