,day,open,high,low,close
299,20200116,679.67,686.52,679.49,686.52
300,20200115,678.83,681.39,676.91,679.16
301,20200114,682.14,685.88,676.78,678.71
302,20200113,673.76,679.22,673.23,679.22
303,20200110,668.79,673.03,665.92,673.03
304,20200109,657.01,666.09,656.25,666.09
305,20200108,657.24,658.14,637.43,640.94
306,20200107,660.87,664.21,659.18,663.44
307,20200106,660.08,663.1,653.61,655.31
308,20200103,677.57,679.37,668.1,669.93
309,20200102,672.53,674.3,666.62,674.02
310,20191230,662.06,669.83,661.62,669.83
311,20191227,652.6,661.59,652.17,661.24
312,20191226,640.77,652.09,640.2,652.07
313,20191224,648.71,648.71,638.74,638.91
314,20191223,651.77,652.81,646.68,647.62
315,20191220,650.19,651.2,647.9,649.73
316,20191219,650.3,653.65,645.11,647.85
317,20191218,650.87,651.71,647.73,648.95
318,20191217,646.8,650.58,646.04,650.58
319,20191216,644.91,646.56,643.24,644.44
320,20191213,643.34,645.73,641.87,643.45
321,20191212,632.29,638.92,631.25,636.94
322,20191211,627.26,630.6,626.57,629.13
323,20191210,627.62,627.76,623.54,627.11
324,20191209,630.6,630.63,625.59,627.86
325,20191206,619.48,628.11,619.48,628.1
326,20191205,629.49,629.6,613.77,617.6
327,20191204,626.06,630.45,622.67,625.27
328,20191203,630.07,632.01,627.0,629.58
329,20191202,635.58,638.35,632.22,634.5
330,20191129,641.72,643.27,631.4,632.99
331,20191128,646.27,649.37,640.18,640.18
332,20191127,653.74,653.87,646.89,647.39
333,20191126,650.79,653.54,649.78,651.59
334,20191125,639.5,647.41,639.5,647.4
335,20191122,637.99,640.77,629.74,633.92
336,20191121,650.56,651.23,634.29,635.99
337,20191120,661.45,663.76,648.82,649.87
338,20191119,669.11,669.24,662.24,662.53
339,20191118,670.07,671.09,666.82,669.34
340,20191115,662.87,668.54,660.64,668.51
341,20191114,663.25,666.05,659.21,663.31
342,20191113,665.37,665.48,659.95,661.85
343,20191112,662.11,665.86,661.42,665.14
344,20191111,666.13,666.13,658.7,661.37
345,20191108,669.34,670.59,662.46,664.6
346,20191107,668.73,669.57,663.7,666.15
347,20191106,672.12,673.86,669.25,669.68
348,20191105,669.47,672.18,666.0,672.18
349,20191104,667.2,669.66,665.63,668.45
350,20191101,658.16,662.34,656.13,662.34
351,20191031,658.45,661.65,656.96,658.52
352,20191030,660.6,660.6,654.15,655.04
353,20191029,656.85,658.76,653.83,658.3
354,20191028,655.05,657.29,651.95,652.42
355,20191025,657.6,658.77,651.29,652.37
356,20191024,658.53,662.27,647.53,658.75
357,20191023,656.88,660.38,654.78,658.98
358,20191022,653.17,660.35,651.1,655.91
359,20191021,646.79,649.18,645.35,649.18
360,20191018,651.55,651.97,645.59,646.69
361,20191017,653.08,654.67,646.61,649.29
362,20191016,650.61,652.73,649.88,651.96
363,20191015,641.51,647.4,641.49,646.8
364,20191014,638.65,643.41,637.69,641.46
365,20191011,638.22,638.49,632.92,632.95
366,20191010,633.96,635.85,630.59,634.73
367,20191008,628.03,635.94,624.92,635.41
368,20191007,625.25,627.82,622.45,627.21
369,20191004,623.08,627.15,619.53,621.84
370,20191002,627.75,630.62,624.47,624.51
371,20191001,623.7,632.12,621.76,632.1
372,20190930,625.69,627.3,615.64,621.76
373,20190927,628.41,628.41,623.32,626.93
374,20190926,632.31,635.64,622.55,628.42
375,20190925,641.08,641.23,626.02,626.76
376,20190924,643.45,646.6,641.17,641.85
377,20190923,648.81,649.22,644.39,645.01
378,20190920,647.5,650.03,645.91,649.07
379,20190919,646.83,651.45,643.0,645.71
380,20190918,646.25,648.95,644.32,645.12
381,20190917,637.1,646.05,636.0,644.28
382,20190916,634.67,638.59,630.16,638.59
383,20190911,625.81,632.42,624.78,630.37
384,20190910,627.77,628.81,621.95,623.25
385,20190909,633.61,634.3,625.28,625.77
386,20190906,637.33,637.33,630.6,631.15
387,20190905,633.19,634.96,631.38,632.99
388,20190904,619.61,629.31,619.46,629.31
389,20190903,619.86,623.34,619.28,620.02
390,20190902,609.46,619.9,608.97,619.81
391,20190830,607.14,611.11,606.65,610.55
392,20190829,604.19,605.39,595.26,599.57
393,20190828,590.67,602.9,590.36,602.9
394,20190827,592.38,596.43,587.42,588.32
395,20190826,594.25,598.08,582.77,582.91
396,20190823,606.28,612.63,605.93,608.98
397,20190822,618.34,618.73,611.67,612.25
398,20190821,605.83,615.96,604.83,615.96
399,20190820,597.15,607.87,595.62,607.01
400,20190819,596.42,597.59,591.21,594.65
401,20190816,590.04,592.82,587.49,591.57
402,20190814,600.35,601.46,596.23,597.15
403,20190813,589.71,593.98,588.47,590.75
